536,Lyles-Crouch Elementary
1404,Lynbrook Elementary
83,Lynnhaven Elementary
55,Lynnhaven Middle
2136,Mack Benn Jr. Elementary
1230,Macy Mcclaugherty Elementary/Middle
1006,Madison County High
1615,Madison Elementary
1765,Madison Heights Elementary
1368,Madison High
1008,Madison Primary
7431,Madison's Trust Elementary
1104,Magna Vista High
560,Magruder Elementary
81,Malibu Elementary
1844,Manassas Park Elementary
1842,Manassas Park High
1843,Manassas Park Middle
1531,Manchester High
1527,Manchester Middle
1385,Mantua Elementary
989,Margaret Beeks Elementary
3990,Margaret Brent Elementary
1278,Margaret M. Pierce Elementary
1978,Marguerite F. Christian Elementary
679,Marion Elementary
676,Marion Middle
678,Marion Senior High
1392,Marshall High
1272,Marshall Middle
1383,Marshall Road Elementary
852,Martin Luther King Jr. Elementary
196,Martin Luther King Jr. Middle
385,Martinsville High
380,Martinsville Middle
825,Marumsco Hills Elementary
318,Mary Calcott Elementary School
1792,Mary Carr Greer Elementary
453,Mary Ellen Henderson Middle
6058,Mary G. Porter Traditional
207,Mary Munford Elementary
2649,Mary Passage Middle
1273,Mary Walter Elementary
4012,Mary Williams Elementary
7229,Mason Crest Elementary
784,Mason's Cove Elementary
2160,Massaponax High
1011,Mathews High
1562,Matoaca Elementary
1522,Matoaca High
1548,Matoaca Middle
6119,Matoaka Elementary
323,Matthew Fontaine Maury High
34,Matthew Whaley Elementary
1131,Maude Trevvett Elementary
535,Maury Elementary
754,Maury River Middle School
549,Max Meadows Elementary
1136,Maybeury Elementary
4965,Mayfield Intermediate
1498,McCleary Elementary
763,McGaheysville Elementary
227,McHarg Elementary
1745,McKinley Elementary
1397,McLean High
2658,McNair Elementary
1525,Meadowbrook High
